score,n,mean_cases,median_cases,std_cases
0,58,0.0022193028505583705,0.0,0.0086994458288566
1,499,0.030991414972540803,0.0,0.13606040747628206
2,1916,0.10388275717223132,0.0034540882588631906,0.2826236702494284
3,179,0.0483516209791134,0.0,0.1433994807548312
